
QQQ10484.	Hall/VdC Norms: Male#0001	emoAP 
QQQ10970.	Hall/VdC Norms: Male#0496	emoCO 
QQQ10971.	Hall/VdC Norms: Male#0497	
QQQ10972.	Hall/VdC Norms: Male#0498	emoHA emoCO 
QQQ10973.	Hall/VdC Norms: Male#0499	emoAP 
QQQ10974.	Hall/VdC Norms: Male#0500	emoAP emoAP emoAN 
QQQ9994.	Hall/VdC Norms: Female#0001	emoAP emoAP emoHA 
QQQ9995.	Hall/VdC Norms: Female#0002	
QQQ9996.	Hall/VdC Norms: Female#0003	emoAP 
QQQ9997.	Hall/VdC Norms: Female#0004	
QQQ9998.	Hall/VdC Norms: Female#0005	emoCO emoAN 
QQQ9999.	Hall/VdC Norms: Female#0006	
QQQ10000.	Hall/VdC Norms: Female#0007	emoAP 
QQQ10001.	Hall/VdC Norms: Female#0008	emoAN 
QQQ10002.	Hall/VdC Norms: Female#0009	
QQQ10003.	Hall/VdC Norms: Female#0010	emoAN 
QQQ10004.	Hall/VdC Norms: Female#0011	
QQQ10005.	Hall/VdC Norms: Female#0012	emoAP 
QQQ10006.	Hall/VdC Norms: Female#0013	
QQQ10007.	Hall/VdC Norms: Female#0014	emoAP 
QQQ10008.	Hall/VdC Norms: Female#0015	emoCO emoAP 
QQQ10009.	Hall/VdC Norms: Female#0016	
QQQ10010.	Hall/VdC Norms: Female#0017	
QQQ10011.	Hall/VdC Norms: Female#0018	emoHA 
QQQ10012.	Hall/VdC Norms: Female#0019	
QQQ10013.	Hall/VdC Norms: Female#0020	emoAP 
QQQ10014.	Hall/VdC Norms: Female#0021	emoAP 
QQQ10015.	Hall/VdC Norms: Female#0022	
QQQ10016.	Hall/VdC Norms: Female#0023	emoCO emoHA 
QQQ10017.	Hall/VdC Norms: Female#0024	emoAP 
QQQ10018.	Hall/VdC Norms: Female#0025	emoAP 
QQQ10019.	Hall/VdC Norms: Female#0026	emoAP 
QQQ10020.	Hall/VdC Norms: Female#0027	
QQQ10021.	Hall/VdC Norms: Female#0028	
QQQ10022.	Hall/VdC Norms: Female#0029	emoAN 
QQQ10023.	Hall/VdC Norms: Female#0030	emoAN 
QQQ10024.	Hall/VdC Norms: Female#0031	
QQQ10025.	Hall/VdC Norms: Female#0032	emoSD 
QQQ10026.	Hall/VdC Norms: Female#0033	
QQQ10027.	Hall/VdC Norms: Female#0034	
QQQ10028.	Hall/VdC Norms: Female#0035	emoCO 
QQQ10029.	Hall/VdC Norms: Female#0036	emoHA emoHA 
QQQ10030.	Hall/VdC Norms: Female#0037	emoCO 
QQQ10031.	Hall/VdC Norms: Female#0038	emoCO 
QQQ10032.	Hall/VdC Norms: Female#0039	emoAN 
QQQ10033.	Hall/VdC Norms: Female#0040	
QQQ10034.	Hall/VdC Norms: Female#0041	emoHA 
QQQ10035.	Hall/VdC Norms: Female#0042	emoHA 
QQQ10036.	Hall/VdC Norms: Female#0043	emoCO 
QQQ10037.	Hall/VdC Norms: Female#0044	emoHA 
QQQ10038.	Hall/VdC Norms: Female#0045	emoAP 
QQQ10039.	Hall/VdC Norms: Female#0046	emoAN 
QQQ10040.	Hall/VdC Norms: Female#0047	
QQQ10041.	Hall/VdC Norms: Female#0048	emoAP emoCO 
QQQ10042.	Hall/VdC Norms: Female#0049	emoCO emoHA 
QQQ10043.	Hall/VdC Norms: Female#0050	
QQQ10044.	Hall/VdC Norms: Female#0051	
QQQ10045.	Hall/VdC Norms: Female#0052	
QQQ10046.	Hall/VdC Norms: Female#0053	emoAN 
QQQ10047.	Hall/VdC Norms: Female#0054	
QQQ10048.	Hall/VdC Norms: Female#0055	emoAP emoCO 
QQQ10049.	Hall/VdC Norms: Female#0056	emoSD 
QQQ10050.	Hall/VdC Norms: Female#0057	emoSD 
QQQ10051.	Hall/VdC Norms: Female#0058	emoCO emoAN 
QQQ10052.	Hall/VdC Norms: Female#0059	emoAN 
QQQ10053.	Hall/VdC Norms: Female#0060	emoAP 
QQQ10054.	Hall/VdC Norms: Female#0061	emoAP 
QQQ10055.	Hall/VdC Norms: Female#0062	emoAP 
QQQ10056.	Hall/VdC Norms: Female#0063	
QQQ10057.	Hall/VdC Norms: Female#0064	
QQQ10058.	Hall/VdC Norms: Female#0065	emoSD 
QQQ10059.	Hall/VdC Norms: Female#0066	emoAN 
QQQ10060.	Hall/VdC Norms: Female#0067	
QQQ10061.	Hall/VdC Norms: Female#0068	
QQQ10062.	Hall/VdC Norms: Female#0069	emoHA emoHA emoCO 
QQQ10063.	Hall/VdC Norms: Female#0070	
QQQ10064.	Hall/VdC Norms: Female#0071	emoAP 
QQQ10065.	Hall/VdC Norms: Female#0072	
QQQ10066.	Hall/VdC Norms: Female#0073	
QQQ10067.	Hall/VdC Norms: Female#0074	emoCO emoCO emoCO 
QQQ10068.	Hall/VdC Norms: Female#0075	
QQQ10069.	Hall/VdC Norms: Female#0076	
QQQ10070.	Hall/VdC Norms: Female#0077	
QQQ10071.	Hall/VdC Norms: Female#0078	
QQQ10072.	Hall/VdC Norms: Female#0079	emoCO 
QQQ10073.	Hall/VdC Norms: Female#0080	emoAP emoSD emoCO emoHA emoAP emoHA 
QQQ10074.	Hall/VdC Norms: Female#0081	emoAP 
QQQ10075.	Hall/VdC Norms: Female#0082	
QQQ10076.	Hall/VdC Norms: Female#0083	emoHA 
QQQ10077.	Hall/VdC Norms: Female#0084	
QQQ10078.	Hall/VdC Norms: Female#0085	emoAN 
QQQ10079.	Hall/VdC Norms: Female#0086	
QQQ10080.	Hall/VdC Norms: Female#0087	
QQQ10081.	Hall/VdC Norms: Female#0088	emoSD emoAP 
QQQ10082.	Hall/VdC Norms: Female#0089	
QQQ10083.	Hall/VdC Norms: Female#0090	emoAP 
QQQ10084.	Hall/VdC Norms: Female#0091	emoAP 
QQQ10085.	Hall/VdC Norms: Female#0092	
QQQ10086.	Hall/VdC Norms: Female#0093	emoAP 
QQQ10087.	Hall/VdC Norms: Female#0094	emoAP 
QQQ10088.	Hall/VdC Norms: Female#0095	emoSD 
QQQ10089.	Hall/VdC Norms: Female#0096	emoCO emoHA 
QQQ10090.	Hall/VdC Norms: Female#0097	
QQQ10091.	Hall/VdC Norms: Female#0098	emoHA 
QQQ10092.	Hall/VdC Norms: Female#0099	
QQQ10093.	Hall/VdC Norms: Female#0100	emoSD emoAP emoSD 
QQQ10094.	Hall/VdC Norms: Female#0101	emoAN 
QQQ10095.	Hall/VdC Norms: Female#0102	
QQQ10096.	Hall/VdC Norms: Female#0103	emoSD 
QQQ10097.	Hall/VdC Norms: Female#0104	emoSD 
QQQ10098.	Hall/VdC Norms: Female#0105	emoSD emoHA 
QQQ10099.	Hall/VdC Norms: Female#0106	
QQQ10100.	Hall/VdC Norms: Female#0107	
QQQ10101.	Hall/VdC Norms: Female#0108	
QQQ10102.	Hall/VdC Norms: Female#0109	emoAP emoAP 
QQQ10103.	Hall/VdC Norms: Female#0110	emoAP 
QQQ10104.	Hall/VdC Norms: Female#0111	emoHA emoAP emoAN 
QQQ10105.	Hall/VdC Norms: Female#0112	emoAP 
QQQ10106.	Hall/VdC Norms: Female#0113	emoAP emoAP 
QQQ10107.	Hall/VdC Norms: Female#0114	emoHA emoAP 
QQQ10108.	Hall/VdC Norms: Female#0115	emoHA emoHA 
QQQ10109.	Hall/VdC Norms: Female#0116	
QQQ10110.	Hall/VdC Norms: Female#0117	
QQQ10111.	Hall/VdC Norms: Female#0118	emoCO emoCO 
QQQ10112.	Hall/VdC Norms: Female#0119	
QQQ10113.	Hall/VdC Norms: Female#0120	emoHA emoHA 
QQQ10114.	Hall/VdC Norms: Female#0121	emoHA 
QQQ10115.	Hall/VdC Norms: Female#0122	emoSD emoSD 
QQQ10116.	Hall/VdC Norms: Female#0123	emoSD 
QQQ10117.	Hall/VdC Norms: Female#0124	
QQQ10118.	Hall/VdC Norms: Female#0125	
QQQ10119.	Hall/VdC Norms: Female#0126	emoHA emoHA 
QQQ10120.	Hall/VdC Norms: Female#0127	emoHA emoHA 
QQQ10121.	Hall/VdC Norms: Female#0128	emoCO emoSD 
QQQ10122.	Hall/VdC Norms: Female#0129	emoCO 
QQQ10123.	Hall/VdC Norms: Female#0130	emoAP 
QQQ10124.	Hall/VdC Norms: Female#0131	
QQQ10125.	Hall/VdC Norms: Female#0132	emoHA emoCO emoHA emoAP emoAP emoAP emoCO emoAP emoAN 
QQQ10126.	Hall/VdC Norms: Female#0133	emoAP emoHA emoCO 
QQQ10127.	Hall/VdC Norms: Female#0134	emoAP emoAP emoAP 
QQQ10128.	Hall/VdC Norms: Female#0135	
QQQ10129.	Hall/VdC Norms: Female#0136	emoAN 
QQQ10130.	Hall/VdC Norms: Female#0137	emoHA 
QQQ10131.	Hall/VdC Norms: Female#0138	emoHA emoSD 
QQQ10132.	Hall/VdC Norms: Female#0139	emoCO emoAN 
QQQ10133.	Hall/VdC Norms: Female#0140	
QQQ10134.	Hall/VdC Norms: Female#0141	emoSD 
QQQ10135.	Hall/VdC Norms: Female#0142	emoAP 
QQQ10136.	Hall/VdC Norms: Female#0143	
QQQ10137.	Hall/VdC Norms: Female#0144	emoAP 
QQQ10138.	Hall/VdC Norms: Female#0145	emoSD emoAP 
QQQ10139.	Hall/VdC Norms: Female#0147	emoCO 
QQQ10140.	Hall/VdC Norms: Female#0148	emoAN 
QQQ10141.	Hall/VdC Norms: Female#0149	
QQQ10142.	Hall/VdC Norms: Female#0150	
QQQ10143.	Hall/VdC Norms: Female#0151	
QQQ10144.	Hall/VdC Norms: Female#0152	
QQQ10145.	Hall/VdC Norms: Female#0153	
QQQ10146.	Hall/VdC Norms: Female#0154	emoHA 
QQQ10147.	Hall/VdC Norms: Female#0155	
QQQ10148.	Hall/VdC Norms: Female#0156	
QQQ10149.	Hall/VdC Norms: Female#0157	
QQQ10150.	Hall/VdC Norms: Female#0158	
QQQ10151.	Hall/VdC Norms: Female#0159	
QQQ10152.	Hall/VdC Norms: Female#0160	
QQQ10153.	Hall/VdC Norms: Female#0161	emoAP 
QQQ10154.	Hall/VdC Norms: Female#0162	emoAP 
QQQ10155.	Hall/VdC Norms: Female#0163	emoAP 
QQQ10156.	Hall/VdC Norms: Female#0164	emoCO 
QQQ10157.	Hall/VdC Norms: Female#0165	emoAP 
QQQ10158.	Hall/VdC Norms: Female#0166	emoCO 
QQQ10159.	Hall/VdC Norms: Female#0167	
QQQ10160.	Hall/VdC Norms: Female#0168	emoAP emoHA 
QQQ10161.	Hall/VdC Norms: Female#0169	
QQQ10162.	Hall/VdC Norms: Female#0170	
QQQ10163.	Hall/VdC Norms: Female#0171	
QQQ10164.	Hall/VdC Norms: Female#0172	
QQQ10165.	Hall/VdC Norms: Female#0173	emoSD 
QQQ10166.	Hall/VdC Norms: Female#0174	emoSD 
QQQ10167.	Hall/VdC Norms: Female#0175	
QQQ10168.	Hall/VdC Norms: Female#0176	
QQQ10169.	Hall/VdC Norms: Female#0177	emoAP 
QQQ10170.	Hall/VdC Norms: Female#0178	
QQQ10171.	Hall/VdC Norms: Female#0179	
QQQ10172.	Hall/VdC Norms: Female#0180	emoSD 
QQQ10173.	Hall/VdC Norms: Female#0181	emoCO emoAN emoAP emoHA 
QQQ10174.	Hall/VdC Norms: Female#0182	
QQQ10175.	Hall/VdC Norms: Female#0183	emoAP 
QQQ10176.	Hall/VdC Norms: Female#0184	emoCO 
QQQ10177.	Hall/VdC Norms: Female#0185	emoCO emoCO 
QQQ10178.	Hall/VdC Norms: Female#0186	emoHA emoHA 
QQQ10179.	Hall/VdC Norms: Female#0187	emoAN emoHA 
QQQ10180.	Hall/VdC Norms: Female#0188	
QQQ10181.	Hall/VdC Norms: Female#0189	emoHA emoAN 
QQQ10182.	Hall/VdC Norms: Female#0190	emoAP 
QQQ10183.	Hall/VdC Norms: Female#0191	emoAP 
QQQ10184.	Hall/VdC Norms: Female#0192	
QQQ10185.	Hall/VdC Norms: Female#0193	emoAP 
QQQ10186.	Hall/VdC Norms: Female#0194	
QQQ10187.	Hall/VdC Norms: Female#0195	
QQQ10188.	Hall/VdC Norms: Female#0196	emoAN emoAP 
QQQ10189.	Hall/VdC Norms: Female#0197	
QQQ10190.	Hall/VdC Norms: Female#0198	emoCO 
QQQ10191.	Hall/VdC Norms: Female#0199	emoSD 
QQQ10192.	Hall/VdC Norms: Female#0200	emoAP emoCO 
QQQ10193.	Hall/VdC Norms: Female#0201	emoHA 
QQQ10194.	Hall/VdC Norms: Female#0202	emoSD 
QQQ10195.	Hall/VdC Norms: Female#0203	emoAP 
QQQ10196.	Hall/VdC Norms: Female#0204	
QQQ10197.	Hall/VdC Norms: Female#0205	
QQQ10198.	Hall/VdC Norms: Female#0206	
QQQ10199.	Hall/VdC Norms: Female#0207	
QQQ10200.	Hall/VdC Norms: Female#0208	emoSD 
QQQ10201.	Hall/VdC Norms: Female#0209	
QQQ10202.	Hall/VdC Norms: Female#0210	
QQQ10203.	Hall/VdC Norms: Female#0211	emoAP 
QQQ10204.	Hall/VdC Norms: Female#0212	
QQQ10205.	Hall/VdC Norms: Female#0213	
QQQ10206.	Hall/VdC Norms: Female#0214	emoCO 
QQQ10207.	Hall/VdC Norms: Female#0215	emoAP 
QQQ10208.	Hall/VdC Norms: Female#0216	
QQQ10209.	Hall/VdC Norms: Female#0217	
QQQ10210.	Hall/VdC Norms: Female#0218	
QQQ10211.	Hall/VdC Norms: Female#0219	emoCO 
QQQ10212.	Hall/VdC Norms: Female#0220	
QQQ10213.	Hall/VdC Norms: Female#0221	
QQQ10214.	Hall/VdC Norms: Female#0222	
QQQ10215.	Hall/VdC Norms: Female#0223	
QQQ10216.	Hall/VdC Norms: Female#0224	emoAP emoAN 
QQQ10217.	Hall/VdC Norms: Female#0225	
QQQ10218.	Hall/VdC Norms: Female#0226	
QQQ10219.	Hall/VdC Norms: Female#0227	
QQQ10220.	Hall/VdC Norms: Female#0228	
QQQ10221.	Hall/VdC Norms: Female#0229	emoAN 
QQQ10222.	Hall/VdC Norms: Female#0230	
QQQ10223.	Hall/VdC Norms: Female#0231	emoHA 
QQQ10224.	Hall/VdC Norms: Female#0232	emoHA emoAP 
QQQ10225.	Hall/VdC Norms: Female#0233	emoAP 
QQQ10226.	Hall/VdC Norms: Female#0234	emoAP 
QQQ10227.	Hall/VdC Norms: Female#0235	emoAP emoCO 
QQQ10228.	Hall/VdC Norms: Female#0236	emoSD emoAP 
QQQ10229.	Hall/VdC Norms: Female#0237	
QQQ10230.	Hall/VdC Norms: Female#0238	emoHA emoCO 
QQQ10231.	Hall/VdC Norms: Female#0239	
QQQ10232.	Hall/VdC Norms: Female#0240	emoAP emoSD emoHA 
QQQ10233.	Hall/VdC Norms: Female#0241	emoAP 
QQQ10234.	Hall/VdC Norms: Female#0242	
QQQ10235.	Hall/VdC Norms: Female#0243	
QQQ10236.	Hall/VdC Norms: Female#0244	
QQQ10237.	Hall/VdC Norms: Female#0245	
QQQ10238.	Hall/VdC Norms: Female#0246	emoSD 
QQQ10239.	Hall/VdC Norms: Female#0247	emoCO 
QQQ10240.	Hall/VdC Norms: Female#0248	emoAP 
QQQ10241.	Hall/VdC Norms: Female#0249	emoAN 
QQQ10242.	Hall/VdC Norms: Female#0250	emoCO 
QQQ10243.	Hall/VdC Norms: Female#0251	emoCO emoCO emoSD 
QQQ10244.	Hall/VdC Norms: Female#0252	emoAP emoAP emoSD 
QQQ10245.	Hall/VdC Norms: Female#0253	emoHA emoAP 
QQQ10246.	Hall/VdC Norms: Female#0254	emoAP emoSD 
QQQ10247.	Hall/VdC Norms: Female#0255	
QQQ10248.	Hall/VdC Norms: Female#0256	
QQQ10249.	Hall/VdC Norms: Female#0257	emoAP 
QQQ10250.	Hall/VdC Norms: Female#0258	emoHA 
QQQ10251.	Hall/VdC Norms: Female#0259	
QQQ10252.	Hall/VdC Norms: Female#0260	
QQQ10253.	Hall/VdC Norms: Female#0261	emoAP 
QQQ10254.	Hall/VdC Norms: Female#0262	emoHA emoCO emoHA 
QQQ10255.	Hall/VdC Norms: Female#0263	emoAP emoHA 
QQQ10256.	Hall/VdC Norms: Female#0264	emoHA 
QQQ10257.	Hall/VdC Norms: Female#0265	emoAP 
QQQ10258.	Hall/VdC Norms: Female#0266	
QQQ10259.	Hall/VdC Norms: Female#0267	emoHA 
QQQ10260.	Hall/VdC Norms: Female#0268	
QQQ10261.	Hall/VdC Norms: Female#0269	emoAN emoAP 
QQQ10262.	Hall/VdC Norms: Female#0270	emoHA 
QQQ10263.	Hall/VdC Norms: Female#0271	emoHA emoAP 
QQQ10264.	Hall/VdC Norms: Female#0272	emoHA emoHA 
QQQ10265.	Hall/VdC Norms: Female#0273	
QQQ10266.	Hall/VdC Norms: Female#0274	emoAP 
QQQ10267.	Hall/VdC Norms: Female#0275	
QQQ10268.	Hall/VdC Norms: Female#0276	emoCO 
QQQ10269.	Hall/VdC Norms: Female#0277	
QQQ10270.	Hall/VdC Norms: Female#0278	emoAP 
QQQ10271.	Hall/VdC Norms: Female#0279	
QQQ10272.	Hall/VdC Norms: Female#0280	emoAP 
QQQ10273.	Hall/VdC Norms: Female#0281	emoAN 
QQQ10274.	Hall/VdC Norms: Female#0282	emoHA 
QQQ10275.	Hall/VdC Norms: Female#0283	emoHA 
QQQ10276.	Hall/VdC Norms: Female#0284	emoAP 
QQQ10277.	Hall/VdC Norms: Female#0285	emoHA emoHA 
QQQ10278.	Hall/VdC Norms: Female#0286	emoAN emoAP 
QQQ10279.	Hall/VdC Norms: Female#0287	
QQQ10280.	Hall/VdC Norms: Female#0288	emoSD 
QQQ10281.	Hall/VdC Norms: Female#0289	
QQQ10282.	Hall/VdC Norms: Female#0290	
QQQ10283.	Hall/VdC Norms: Female#0291	emoAN emoAP emoAN 
QQQ10284.	Hall/VdC Norms: Female#0292	emoAP 
QQQ10285.	Hall/VdC Norms: Female#0293	
QQQ10286.	Hall/VdC Norms: Female#0294	emoAP 
QQQ10287.	Hall/VdC Norms: Female#0295	emoHA emoAN emoAN emoSD 
QQQ10288.	Hall/VdC Norms: Female#0296	emoAP 
QQQ10289.	Hall/VdC Norms: Female#0297	emoAN 
QQQ10290.	Hall/VdC Norms: Female#0298	emoCO emoHA 
QQQ10291.	Hall/VdC Norms: Female#0299	emoAP 
QQQ10292.	Hall/VdC Norms: Female#0300	emoHA 
QQQ10293.	Hall/VdC Norms: Female#0301	
QQQ10294.	Hall/VdC Norms: Female#0302	
QQQ10295.	Hall/VdC Norms: Female#0303	
QQQ10296.	Hall/VdC Norms: Female#0304	
QQQ10297.	Hall/VdC Norms: Female#0306	
QQQ10298.	Hall/VdC Norms: Female#0307	emoHA 
QQQ10299.	Hall/VdC Norms: Female#0308	emoHA 
QQQ10300.	Hall/VdC Norms: Female#0309	emoCO emoCO emoHA 
QQQ10301.	Hall/VdC Norms: Female#0310	emoSD 
QQQ10302.	Hall/VdC Norms: Female#0311	emoAP 
QQQ10303.	Hall/VdC Norms: Female#0312	
QQQ10304.	Hall/VdC Norms: Female#0313	
QQQ10305.	Hall/VdC Norms: Female#0314	
QQQ10306.	Hall/VdC Norms: Female#0315	emoHA emoCO 
QQQ10307.	Hall/VdC Norms: Female#0316	emoCO 
QQQ10308.	Hall/VdC Norms: Female#0317	
QQQ10309.	Hall/VdC Norms: Female#0318	emoHA emoHA emoAN 
QQQ10310.	Hall/VdC Norms: Female#0319	emoCO 
QQQ10311.	Hall/VdC Norms: Female#0320	emoHA emoAN emoAN 
QQQ10312.	Hall/VdC Norms: Female#0321	emoAP 
QQQ10313.	Hall/VdC Norms: Female#0322	emoAP 
QQQ10314.	Hall/VdC Norms: Female#0323	emoCO 
QQQ10315.	Hall/VdC Norms: Female#0324	emoAP 
QQQ10316.	Hall/VdC Norms: Female#0325	emoAP 
QQQ10317.	Hall/VdC Norms: Female#0326	emoAP emoCO 
QQQ10318.	Hall/VdC Norms: Female#0327	emoHA 
QQQ10319.	Hall/VdC Norms: Female#0328	emoSD 
QQQ10320.	Hall/VdC Norms: Female#0330	
QQQ10321.	Hall/VdC Norms: Female#0331	emoAP 
QQQ10322.	Hall/VdC Norms: Female#0332	
QQQ10323.	Hall/VdC Norms: Female#0333	
QQQ10324.	Hall/VdC Norms: Female#0334	
QQQ10325.	Hall/VdC Norms: Female#0335	
QQQ10326.	Hall/VdC Norms: Female#0336	emoSD emoAN 
QQQ10327.	Hall/VdC Norms: Female#0337	emoSD 
QQQ10328.	Hall/VdC Norms: Female#0338	emoAN 
QQQ10329.	Hall/VdC Norms: Female#0339	
QQQ10330.	Hall/VdC Norms: Female#0340	emoSD emoHA 
QQQ10331.	Hall/VdC Norms: Female#0341	
QQQ10332.	Hall/VdC Norms: Female#0342	
QQQ10333.	Hall/VdC Norms: Female#0343	
QQQ10334.	Hall/VdC Norms: Female#0344	emoAN 
QQQ10335.	Hall/VdC Norms: Female#0345	
QQQ10336.	Hall/VdC Norms: Female#0348	
QQQ10337.	Hall/VdC Norms: Female#0349	
QQQ10338.	Hall/VdC Norms: Female#0350	
QQQ10339.	Hall/VdC Norms: Female#0351	
QQQ10340.	Hall/VdC Norms: Female#0352	emoAN 
QQQ10341.	Hall/VdC Norms: Female#0355	
QQQ10342.	Hall/VdC Norms: Female#0356	emoAN 
QQQ10343.	Hall/VdC Norms: Female#0357	emoHA emoSD 
QQQ10344.	Hall/VdC Norms: Female#0358	emoAP emoAP emoAP 
QQQ10345.	Hall/VdC Norms: Female#0359	emoAP 
QQQ10346.	Hall/VdC Norms: Female#0360	emoAP emoAP 
QQQ10347.	Hall/VdC Norms: Female#0361	
QQQ10348.	Hall/VdC Norms: Female#0362	emoAP 
QQQ10349.	Hall/VdC Norms: Female#0363	emoAP 
QQQ10350.	Hall/VdC Norms: Female#0364	emoAP 
QQQ10351.	Hall/VdC Norms: Female#0365	emoAP emoSD 
QQQ10352.	Hall/VdC Norms: Female#0369	emoAP 
QQQ10353.	Hall/VdC Norms: Female#0370	emoCO 
QQQ10354.	Hall/VdC Norms: Female#0371	emoCO 
QQQ10355.	Hall/VdC Norms: Female#0372	
QQQ10356.	Hall/VdC Norms: Female#0373	emoAN emoAN 
QQQ10357.	Hall/VdC Norms: Female#0374	
QQQ10358.	Hall/VdC Norms: Female#0375	emoCO 
QQQ10359.	Hall/VdC Norms: Female#0376	emoSD emoAP 
QQQ10360.	Hall/VdC Norms: Female#0377	
QQQ10361.	Hall/VdC Norms: Female#0378	
QQQ10362.	Hall/VdC Norms: Female#0379	emoCO emoHA emoHA 
QQQ10363.	Hall/VdC Norms: Female#0380	emoHA 
QQQ10364.	Hall/VdC Norms: Female#0381	
QQQ10365.	Hall/VdC Norms: Female#0382	
QQQ10366.	Hall/VdC Norms: Female#0383	emoAP 
QQQ10367.	Hall/VdC Norms: Female#0384	
QQQ10368.	Hall/VdC Norms: Female#0385	
QQQ10369.	Hall/VdC Norms: Female#0386	emoAP 
QQQ10370.	Hall/VdC Norms: Female#0387	
QQQ10371.	Hall/VdC Norms: Female#0388	
QQQ10372.	Hall/VdC Norms: Female#0389	
QQQ10373.	Hall/VdC Norms: Female#0390	
QQQ10374.	Hall/VdC Norms: Female#0391	emoAP emoAP 
QQQ10375.	Hall/VdC Norms: Female#0392	emoAP emoAP 
QQQ10376.	Hall/VdC Norms: Female#0393	emoAP 
QQQ10377.	Hall/VdC Norms: Female#0394	emoCO 
QQQ10378.	Hall/VdC Norms: Female#0395	
QQQ10379.	Hall/VdC Norms: Female#0396	emoAP emoSD 
QQQ10380.	Hall/VdC Norms: Female#0397	emoCO 
QQQ10381.	Hall/VdC Norms: Female#0398	emoCO 
QQQ10382.	Hall/VdC Norms: Female#0399	emoHA 
QQQ10383.	Hall/VdC Norms: Female#0400	emoAP emoCO 
QQQ10384.	Hall/VdC Norms: Female#0401	
QQQ10385.	Hall/VdC Norms: Female#0402	emoAP 
QQQ10386.	Hall/VdC Norms: Female#0403	emoSD emoAP 
QQQ10387.	Hall/VdC Norms: Female#0404	emoSD emoSD 
QQQ10388.	Hall/VdC Norms: Female#0405	emoSD 
QQQ10389.	Hall/VdC Norms: Female#0406	emoCO 
QQQ10390.	Hall/VdC Norms: Female#0407	
QQQ10391.	Hall/VdC Norms: Female#0408	emoSD emoAN 
QQQ10392.	Hall/VdC Norms: Female#0409	emoSD 
QQQ10393.	Hall/VdC Norms: Female#0410	emoCO 
QQQ10394.	Hall/VdC Norms: Female#0411	emoAP emoAP 
QQQ10395.	Hall/VdC Norms: Female#0412	emoAP emoAP 
QQQ10396.	Hall/VdC Norms: Female#0413	emoAP emoCO 
QQQ10397.	Hall/VdC Norms: Female#0414	emoAP emoAP 
QQQ10398.	Hall/VdC Norms: Female#0415	
QQQ10399.	Hall/VdC Norms: Female#0416	
QQQ10400.	Hall/VdC Norms: Female#0417	emoAP 
QQQ10401.	Hall/VdC Norms: Female#0418	emoAP emoAP 
QQQ10402.	Hall/VdC Norms: Female#0419	
QQQ10403.	Hall/VdC Norms: Female#0420	emoAP 
QQQ10404.	Hall/VdC Norms: Female#0421	
QQQ10405.	Hall/VdC Norms: Female#0422	
QQQ10406.	Hall/VdC Norms: Female#0423	
QQQ10407.	Hall/VdC Norms: Female#0424	
QQQ10408.	Hall/VdC Norms: Female#0425	emoSD 
QQQ10409.	Hall/VdC Norms: Female#0426	emoSD 
QQQ10410.	Hall/VdC Norms: Female#0427	
QQQ10411.	Hall/VdC Norms: Female#0428	
QQQ10412.	Hall/VdC Norms: Female#0429	
QQQ10413.	Hall/VdC Norms: Female#0430	
QQQ10414.	Hall/VdC Norms: Female#0431	
QQQ10415.	Hall/VdC Norms: Female#0432	emoAP emoCO 
QQQ10416.	Hall/VdC Norms: Female#0433	
QQQ10417.	Hall/VdC Norms: Female#0434	
QQQ10418.	Hall/VdC Norms: Female#0435	emoAN 
QQQ10419.	Hall/VdC Norms: Female#0436	emoHA 
QQQ10420.	Hall/VdC Norms: Female#0437	
QQQ10421.	Hall/VdC Norms: Female#0438	
QQQ10422.	Hall/VdC Norms: Female#0439	
QQQ10423.	Hall/VdC Norms: Female#0440	emoAP 
QQQ10424.	Hall/VdC Norms: Female#0441	
QQQ10425.	Hall/VdC Norms: Female#0442	
QQQ10426.	Hall/VdC Norms: Female#0443	
QQQ10427.	Hall/VdC Norms: Female#0444	
QQQ10428.	Hall/VdC Norms: Female#0445	emoCO 
QQQ10429.	Hall/VdC Norms: Female#0446	
QQQ10430.	Hall/VdC Norms: Female#0447	
QQQ10431.	Hall/VdC Norms: Female#0448	
QQQ10432.	Hall/VdC Norms: Female#0449	
QQQ10433.	Hall/VdC Norms: Female#0450	
QQQ10434.	Hall/VdC Norms: Female#0451	
QQQ10435.	Hall/VdC Norms: Female#0452	emoAP emoAN 
QQQ10436.	Hall/VdC Norms: Female#0453	
QQQ10437.	Hall/VdC Norms: Female#0454	emoHA 
QQQ10438.	Hall/VdC Norms: Female#0455	emoAP emoAN emoSD emoCO 
QQQ10439.	Hall/VdC Norms: Female#0456	emoAP 
QQQ10440.	Hall/VdC Norms: Female#0457	emoAP 
QQQ10441.	Hall/VdC Norms: Female#0458	
QQQ10442.	Hall/VdC Norms: Female#0459	
QQQ10443.	Hall/VdC Norms: Female#0460	
QQQ10444.	Hall/VdC Norms: Female#0461	
QQQ10445.	Hall/VdC Norms: Female#0462	emoCO 
QQQ10446.	Hall/VdC Norms: Female#0463	
QQQ10447.	Hall/VdC Norms: Female#0464	
QQQ10448.	Hall/VdC Norms: Female#0465	emoAP 
QQQ10449.	Hall/VdC Norms: Female#0466	
QQQ10450.	Hall/VdC Norms: Female#0467	
QQQ10451.	Hall/VdC Norms: Female#0468	
QQQ10452.	Hall/VdC Norms: Female#0469	
QQQ10453.	Hall/VdC Norms: Female#0470	emoAP 
QQQ10454.	Hall/VdC Norms: Female#0471	
