QQQ10484.	Hall/VdC Norms: Male#0001	setID 
QQQ10928.	Hall/VdC Norms: Male#0454	setOU 
QQQ10929.	Hall/VdC Norms: Male#0455	setOU 
QQQ10930.	Hall/VdC Norms: Male#0456	setOU setIF 
QQQ10931.	Hall/VdC Norms: Male#0457	setOQ 
QQQ10932.	Hall/VdC Norms: Male#0458	setIF 
QQQ10933.	Hall/VdC Norms: Male#0459	setOQ 
QQQ10934.	Hall/VdC Norms: Male#0460	setIF setOF 
QQQ10935.	Hall/VdC Norms: Male#0461	setIU 
QQQ10936.	Hall/VdC Norms: Male#0462	setOG 
QQQ10937.	Hall/VdC Norms: Male#0463	setOU setIU 
QQQ10938.	Hall/VdC Norms: Male#0464	setOF setIF 
QQQ10939.	Hall/VdC Norms: Male#0465	setOU setIU 
QQQ10940.	Hall/VdC Norms: Male#0466	setIQ 
QQQ10941.	Hall/VdC Norms: Male#0467	setOQ 
QQQ10942.	Hall/VdC Norms: Male#0468	setOU setIU 
QQQ10943.	Hall/VdC Norms: Male#0469	setAG setOG 
QQQ10944.	Hall/VdC Norms: Male#0470	setIU 
QQQ10945.	Hall/VdC Norms: Male#0471	setOG setOU 
QQQ10946.	Hall/VdC Norms: Male#0472	setOQ setIF 
QQQ10947.	Hall/VdC Norms: Male#0473	setOQ setOF 
QQQ10948.	Hall/VdC Norms: Male#0474	setOF 
QQQ10949.	Hall/VdC Norms: Male#0475	setOQ 
QQQ10950.	Hall/VdC Norms: Male#0476	setNS 
QQQ10951.	Hall/VdC Norms: Male#0477	setOF 
QQQ10952.	Hall/VdC Norms: Male#0478	setOU 
QQQ10953.	Hall/VdC Norms: Male#0479	setOQ 
QQQ10954.	Hall/VdC Norms: Male#0480	setOU setIU 
QQQ10955.	Hall/VdC Norms: Male#0481	setIF 
QQQ10956.	Hall/VdC Norms: Male#0482	setOQ 
QQQ10957.	Hall/VdC Norms: Male#0483	setIF 
QQQ10958.	Hall/VdC Norms: Male#0484	setOF 
QQQ10959.	Hall/VdC Norms: Male#0485	setIQ 
QQQ10960.	Hall/VdC Norms: Male#0486	setIF 
QQQ10961.	Hall/VdC Norms: Male#0487	setAQ 
QQQ10962.	Hall/VdC Norms: Male#0488	setOQ 
QQQ10963.	Hall/VdC Norms: Male#0489	setIQ 
QQQ10964.	Hall/VdC Norms: Male#0490	setIF 
QQQ10965.	Hall/VdC Norms: Male#0491	setOQ 
QQQ10966.	Hall/VdC Norms: Male#0492	setAQ setAF 
QQQ10967.	Hall/VdC Norms: Male#0493	setOU setIU 
QQQ10968.	Hall/VdC Norms: Male#0494	setIG 
QQQ10969.	Hall/VdC Norms: Male#0495	setIF setIQ 
QQQ10970.	Hall/VdC Norms: Male#0496	setIF 
QQQ10971.	Hall/VdC Norms: Male#0497	setOU 
QQQ10972.	Hall/VdC Norms: Male#0498	setAU setOU 
QQQ10973.	Hall/VdC Norms: Male#0499	setOQ 
QQQ10974.	Hall/VdC Norms: Male#0500	setOU 
QQQ9994.	Hall/VdC Norms: Female#0001	setIQ 
QQQ9995.	Hall/VdC Norms: Female#0002	setIU 
QQQ9996.	Hall/VdC Norms: Female#0003	setOU 
QQQ9997.	Hall/VdC Norms: Female#0004	setOU setOU 
QQQ9998.	Hall/VdC Norms: Female#0005	setIF 
QQQ9999.	Hall/VdC Norms: Female#0006	setIF 
QQQ10000.	Hall/VdC Norms: Female#0007	setOQ 
QQQ10001.	Hall/VdC Norms: Female#0008	setIF 
QQQ10002.	Hall/VdC Norms: Female#0009	setID 
QQQ10003.	Hall/VdC Norms: Female#0010	setOQ 
QQQ10004.	Hall/VdC Norms: Female#0011	setIQ 
QQQ10005.	Hall/VdC Norms: Female#0012	setOQ 
QQQ10006.	Hall/VdC Norms: Female#0013	setIF 
QQQ10007.	Hall/VdC Norms: Female#0014	setOQ 
QQQ10008.	Hall/VdC Norms: Female#0015	setIQ 
QQQ10009.	Hall/VdC Norms: Female#0016	setOF 
QQQ10010.	Hall/VdC Norms: Female#0017	setOQ 
QQQ10011.	Hall/VdC Norms: Female#0018	setOF setIF setIU 
QQQ10012.	Hall/VdC Norms: Female#0019	setIF setIQ 
QQQ10013.	Hall/VdC Norms: Female#0020	setIQ 
QQQ10014.	Hall/VdC Norms: Female#0021	setIF 
QQQ10015.	Hall/VdC Norms: Female#0022	setIU 
QQQ10016.	Hall/VdC Norms: Female#0023	setIQ 
QQQ10017.	Hall/VdC Norms: Female#0024	setOU setIU 
QQQ10018.	Hall/VdC Norms: Female#0025	setIU 
QQQ10019.	Hall/VdC Norms: Female#0026	setIQ 
QQQ10020.	Hall/VdC Norms: Female#0027	setIQ 
QQQ10021.	Hall/VdC Norms: Female#0028	setIF 
QQQ10022.	Hall/VdC Norms: Female#0029	setOG 
QQQ10023.	Hall/VdC Norms: Female#0030	setIF 
QQQ10024.	Hall/VdC Norms: Female#0031	setIF setIF 
QQQ10025.	Hall/VdC Norms: Female#0032	setIF setOF 
QQQ10026.	Hall/VdC Norms: Female#0033	setID 
QQQ10027.	Hall/VdC Norms: Female#0034	setAQ 
QQQ10028.	Hall/VdC Norms: Female#0035	setAQ 
QQQ10029.	Hall/VdC Norms: Female#0036	setIF 
QQQ10030.	Hall/VdC Norms: Female#0037	setIQ 
QQQ10031.	Hall/VdC Norms: Female#0038	setIQ 
QQQ10032.	Hall/VdC Norms: Female#0039	setIU 
QQQ10033.	Hall/VdC Norms: Female#0040	setIQ setAF setIQ 
QQQ10034.	Hall/VdC Norms: Female#0041	setIQ 
QQQ10035.	Hall/VdC Norms: Female#0042	setIF 
QQQ10036.	Hall/VdC Norms: Female#0043	setIF 
QQQ10037.	Hall/VdC Norms: Female#0044	setIU 
QQQ10038.	Hall/VdC Norms: Female#0045	setIU 
QQQ10039.	Hall/VdC Norms: Female#0046	setOD 
QQQ10040.	Hall/VdC Norms: Female#0047	setOQ 
QQQ10041.	Hall/VdC Norms: Female#0048	setIU 
QQQ10042.	Hall/VdC Norms: Female#0049	setIF 
QQQ10043.	Hall/VdC Norms: Female#0050	setIQ 
QQQ10044.	Hall/VdC Norms: Female#0051	setIF 
QQQ10045.	Hall/VdC Norms: Female#0052	setIQ setIF 
QQQ10046.	Hall/VdC Norms: Female#0053	setIF setIF 
QQQ10047.	Hall/VdC Norms: Female#0054	setIF setOF 
QQQ10048.	Hall/VdC Norms: Female#0055	setIF 
QQQ10049.	Hall/VdC Norms: Female#0056	setIQ 
QQQ10050.	Hall/VdC Norms: Female#0057	setOQ 
QQQ10051.	Hall/VdC Norms: Female#0058	setOF 
QQQ10052.	Hall/VdC Norms: Female#0059	setIQ 
QQQ10053.	Hall/VdC Norms: Female#0060	setAQ 
QQQ10054.	Hall/VdC Norms: Female#0061	setIF 
QQQ10055.	Hall/VdC Norms: Female#0062	setIQ 
QQQ10056.	Hall/VdC Norms: Female#0063	setIF 
QQQ10057.	Hall/VdC Norms: Female#0064	setIF 
QQQ10058.	Hall/VdC Norms: Female#0065	setIF 
QQQ10059.	Hall/VdC Norms: Female#0066	setIF 
QQQ10060.	Hall/VdC Norms: Female#0067	setOF 
QQQ10061.	Hall/VdC Norms: Female#0068	setAQ 
QQQ10062.	Hall/VdC Norms: Female#0069	setIQ 
QQQ10063.	Hall/VdC Norms: Female#0070	setID 
QQQ10064.	Hall/VdC Norms: Female#0071	setOQ 
QQQ10065.	Hall/VdC Norms: Female#0072	setIF 
QQQ10066.	Hall/VdC Norms: Female#0073	setNS 
QQQ10067.	Hall/VdC Norms: Female#0074	setIQ 
QQQ10068.	Hall/VdC Norms: Female#0075	setIQ 
QQQ10069.	Hall/VdC Norms: Female#0076	setOQ 
QQQ10070.	Hall/VdC Norms: Female#0077	setNS 
QQQ10071.	Hall/VdC Norms: Female#0078	setOQ 
QQQ10072.	Hall/VdC Norms: Female#0079	setAF 
QQQ10073.	Hall/VdC Norms: Female#0080	setAQ 
QQQ10074.	Hall/VdC Norms: Female#0081	setAD 
QQQ10075.	Hall/VdC Norms: Female#0082	setIQ 
QQQ10076.	Hall/VdC Norms: Female#0083	setAF 
QQQ10077.	Hall/VdC Norms: Female#0084	setIF 
QQQ10078.	Hall/VdC Norms: Female#0085	setIQ 
QQQ10079.	Hall/VdC Norms: Female#0086	setAF 
QQQ10080.	Hall/VdC Norms: Female#0087	setIQ 
QQQ10081.	Hall/VdC Norms: Female#0088	setOF setIQ setIQ setIU setOQ 
QQQ10082.	Hall/VdC Norms: Female#0089	setIU 
QQQ10083.	Hall/VdC Norms: Female#0090	setOQ setOQ 
QQQ10084.	Hall/VdC Norms: Female#0091	setIF 
QQQ10085.	Hall/VdC Norms: Female#0092	setAD setOQ 
QQQ10086.	Hall/VdC Norms: Female#0093	setAQ 
QQQ10087.	Hall/VdC Norms: Female#0094	setOU 
QQQ10088.	Hall/VdC Norms: Female#0095	setOD 
QQQ10089.	Hall/VdC Norms: Female#0096	setAF 
QQQ10090.	Hall/VdC Norms: Female#0097	setIF 
QQQ10091.	Hall/VdC Norms: Female#0098	setOU 
QQQ10092.	Hall/VdC Norms: Female#0099	setNS 
QQQ10093.	Hall/VdC Norms: Female#0100	setAQ 
QQQ10094.	Hall/VdC Norms: Female#0101	setIF 
QQQ10095.	Hall/VdC Norms: Female#0102	setIF 
QQQ10096.	Hall/VdC Norms: Female#0103	setIU 
QQQ10097.	Hall/VdC Norms: Female#0104	setIQ 
QQQ10098.	Hall/VdC Norms: Female#0105	setIQ 
QQQ10099.	Hall/VdC Norms: Female#0106	setOQ 
QQQ10100.	Hall/VdC Norms: Female#0107	setOF 
QQQ10101.	Hall/VdC Norms: Female#0108	setIF 
QQQ10102.	Hall/VdC Norms: Female#0109	setOQ setIQ 
QQQ10103.	Hall/VdC Norms: Female#0110	setIQ setOQ setOQ 
QQQ10104.	Hall/VdC Norms: Female#0111	setNS 
QQQ10105.	Hall/VdC Norms: Female#0112	setOQ 
QQQ10106.	Hall/VdC Norms: Female#0113	setIF 
QQQ10107.	Hall/VdC Norms: Female#0114	setNS 
QQQ10108.	Hall/VdC Norms: Female#0115	setOF 
QQQ10109.	Hall/VdC Norms: Female#0116	setIQ 
QQQ10110.	Hall/VdC Norms: Female#0117	setOD setIQ 
QQQ10111.	Hall/VdC Norms: Female#0118	setIF 
QQQ10112.	Hall/VdC Norms: Female#0119	setOU setIU 
QQQ10113.	Hall/VdC Norms: Female#0120	setIQ setOQ 
QQQ10114.	Hall/VdC Norms: Female#0121	setIF 
QQQ10115.	Hall/VdC Norms: Female#0122	setIQ setIF setIQ 
QQQ10116.	Hall/VdC Norms: Female#0123	setIF setIF setIF 
QQQ10117.	Hall/VdC Norms: Female#0124	setOF 
QQQ10118.	Hall/VdC Norms: Female#0125	setIF 
QQQ10119.	Hall/VdC Norms: Female#0126	setOG 
QQQ10120.	Hall/VdC Norms: Female#0127	setOG 
QQQ10121.	Hall/VdC Norms: Female#0128	setIF 
QQQ10122.	Hall/VdC Norms: Female#0129	setIF 
QQQ10123.	Hall/VdC Norms: Female#0130	setIG setIF 
QQQ10124.	Hall/VdC Norms: Female#0131	setAQ 
QQQ10125.	Hall/VdC Norms: Female#0132	setIF 
QQQ10126.	Hall/VdC Norms: Female#0133	setIF 
QQQ10127.	Hall/VdC Norms: Female#0134	setIU 
QQQ10128.	Hall/VdC Norms: Female#0135	setNS 
QQQ10129.	Hall/VdC Norms: Female#0136	setIQ 
QQQ10130.	Hall/VdC Norms: Female#0137	setOF setIU 
QQQ10131.	Hall/VdC Norms: Female#0138	setOQ 
QQQ10132.	Hall/VdC Norms: Female#0139	setIQ 
QQQ10133.	Hall/VdC Norms: Female#0140	setIQ 
QQQ10134.	Hall/VdC Norms: Female#0141	setIF 
QQQ10135.	Hall/VdC Norms: Female#0142	setOF setIF 
QQQ10136.	Hall/VdC Norms: Female#0143	setIF setOU setIQ 
QQQ10137.	Hall/VdC Norms: Female#0144	setNS 
QQQ10138.	Hall/VdC Norms: Female#0145	setID setOF setIF 
QQQ10139.	Hall/VdC Norms: Female#0147	setIF 
QQQ10140.	Hall/VdC Norms: Female#0148	setAQ 
QQQ10141.	Hall/VdC Norms: Female#0149	setOD setIQ setOQ 
QQQ10142.	Hall/VdC Norms: Female#0150	setOF 
QQQ10143.	Hall/VdC Norms: Female#0151	setID 
QQQ10144.	Hall/VdC Norms: Female#0152	setOQ 
QQQ10145.	Hall/VdC Norms: Female#0153	setOQ 
QQQ10146.	Hall/VdC Norms: Female#0154	setIF setOQ 
QQQ10147.	Hall/VdC Norms: Female#0155	setIF 
QQQ10148.	Hall/VdC Norms: Female#0156	setIF setOF 
QQQ10149.	Hall/VdC Norms: Female#0157	setIQ setOQ 
QQQ10150.	Hall/VdC Norms: Female#0158	setIF 
QQQ10151.	Hall/VdC Norms: Female#0159	setIF 
QQQ10152.	Hall/VdC Norms: Female#0160	setOG 
QQQ10153.	Hall/VdC Norms: Female#0161	setOQ setIF setOQ 
QQQ10154.	Hall/VdC Norms: Female#0162	setOQ setIQ 
QQQ10155.	Hall/VdC Norms: Female#0163	setOQ setIQ 
QQQ10156.	Hall/VdC Norms: Female#0164	setOF setIQ 
QQQ10157.	Hall/VdC Norms: Female#0165	setIQ setOQ 
QQQ10158.	Hall/VdC Norms: Female#0166	setIU 
QQQ10159.	Hall/VdC Norms: Female#0167	setAQ 
QQQ10160.	Hall/VdC Norms: Female#0168	setIQ 
QQQ10161.	Hall/VdC Norms: Female#0169	setOF 
QQQ10162.	Hall/VdC Norms: Female#0170	setOU 
QQQ10163.	Hall/VdC Norms: Female#0171	setOQ 
QQQ10164.	Hall/VdC Norms: Female#0172	setIU 
QQQ10165.	Hall/VdC Norms: Female#0173	setIF 
QQQ10166.	Hall/VdC Norms: Female#0174	setOU 
QQQ10167.	Hall/VdC Norms: Female#0175	setIU setIF 
QQQ10168.	Hall/VdC Norms: Female#0176	setOQ 
QQQ10169.	Hall/VdC Norms: Female#0177	setOQ 
QQQ10170.	Hall/VdC Norms: Female#0178	setOF 
QQQ10171.	Hall/VdC Norms: Female#0179	setIF 
QQQ10172.	Hall/VdC Norms: Female#0180	setIF 
QQQ10173.	Hall/VdC Norms: Female#0181	setIQ 
QQQ10174.	Hall/VdC Norms: Female#0182	setOD 
QQQ10175.	Hall/VdC Norms: Female#0183	setIF 
QQQ10176.	Hall/VdC Norms: Female#0184	setAQ 
QQQ10177.	Hall/VdC Norms: Female#0185	setOF setIQ 
QQQ10178.	Hall/VdC Norms: Female#0186	setID setOQ 
QQQ10179.	Hall/VdC Norms: Female#0187	setIU setOQ setIU 
QQQ10180.	Hall/VdC Norms: Female#0188	setIQ 
QQQ10181.	Hall/VdC Norms: Female#0189	setID 
QQQ10182.	Hall/VdC Norms: Female#0190	setIU setOU 
QQQ10183.	Hall/VdC Norms: Female#0191	setID 
QQQ10184.	Hall/VdC Norms: Female#0192	setAQ 
QQQ10185.	Hall/VdC Norms: Female#0193	setIF 
QQQ10186.	Hall/VdC Norms: Female#0194	setIF setIF setIF 
QQQ10187.	Hall/VdC Norms: Female#0195	setAQ 
QQQ10188.	Hall/VdC Norms: Female#0196	setIF 
QQQ10189.	Hall/VdC Norms: Female#0197	setOG 
QQQ10190.	Hall/VdC Norms: Female#0198	setID 
QQQ10191.	Hall/VdC Norms: Female#0199	setIF 
QQQ10192.	Hall/VdC Norms: Female#0200	setIG setAG 
QQQ10193.	Hall/VdC Norms: Female#0201	setOQ setIU 
QQQ10194.	Hall/VdC Norms: Female#0202	setOF 
QQQ10195.	Hall/VdC Norms: Female#0203	setIF 
QQQ10196.	Hall/VdC Norms: Female#0204	setOF setAQ 
QQQ10197.	Hall/VdC Norms: Female#0205	setIU 
QQQ10198.	Hall/VdC Norms: Female#0206	setOQ setOU setIU 
QQQ10199.	Hall/VdC Norms: Female#0207	setIF 
QQQ10200.	Hall/VdC Norms: Female#0208	setIQ 
QQQ10201.	Hall/VdC Norms: Female#0209	setAQ 
QQQ10202.	Hall/VdC Norms: Female#0210	setOF setAU 
QQQ10203.	Hall/VdC Norms: Female#0211	setAF 
QQQ10204.	Hall/VdC Norms: Female#0212	setOU 
QQQ10205.	Hall/VdC Norms: Female#0213	setOF 
QQQ10206.	Hall/VdC Norms: Female#0214	setOG setIQ setOG 
QQQ10207.	Hall/VdC Norms: Female#0215	setIF setOF 
QQQ10208.	Hall/VdC Norms: Female#0216	setIF setOF 
QQQ10209.	Hall/VdC Norms: Female#0217	setIF 
QQQ10210.	Hall/VdC Norms: Female#0218	setIQ 
QQQ10211.	Hall/VdC Norms: Female#0219	setIF 
QQQ10212.	Hall/VdC Norms: Female#0220	setIF 
QQQ10213.	Hall/VdC Norms: Female#0221	setOD setOQ setOD 
QQQ10214.	Hall/VdC Norms: Female#0222	setIF 
QQQ10215.	Hall/VdC Norms: Female#0223	setOU setIU 
QQQ10216.	Hall/VdC Norms: Female#0224	setIQ 
QQQ10217.	Hall/VdC Norms: Female#0225	setAG setOG setIQ 
QQQ10218.	Hall/VdC Norms: Female#0226	setOQ 
QQQ10219.	Hall/VdC Norms: Female#0227	setIQ setIQ 
QQQ10220.	Hall/VdC Norms: Female#0228	setIQ 
QQQ10221.	Hall/VdC Norms: Female#0229	setOQ setIQ 
QQQ10222.	Hall/VdC Norms: Female#0230	setIF 
QQQ10223.	Hall/VdC Norms: Female#0231	setIF 
QQQ10224.	Hall/VdC Norms: Female#0232	setOQ 
QQQ10225.	Hall/VdC Norms: Female#0233	setOQ 
QQQ10226.	Hall/VdC Norms: Female#0234	setOF 
QQQ10227.	Hall/VdC Norms: Female#0235	setIF 
QQQ10228.	Hall/VdC Norms: Female#0236	setIQ 
QQQ10229.	Hall/VdC Norms: Female#0237	setOU 
QQQ10230.	Hall/VdC Norms: Female#0238	setIF 
QQQ10231.	Hall/VdC Norms: Female#0239	setIF 
QQQ10232.	Hall/VdC Norms: Female#0240	setIQ setOU 
QQQ10233.	Hall/VdC Norms: Female#0241	setIQ setIF 
QQQ10234.	Hall/VdC Norms: Female#0242	setAQ 
QQQ10235.	Hall/VdC Norms: Female#0243	setIF 
QQQ10236.	Hall/VdC Norms: Female#0244	setIF 
QQQ10237.	Hall/VdC Norms: Female#0245	setOF 
QQQ10238.	Hall/VdC Norms: Female#0246	setIQ setAQ 
QQQ10239.	Hall/VdC Norms: Female#0247	setIF 
QQQ10240.	Hall/VdC Norms: Female#0248	setOQ 
QQQ10241.	Hall/VdC Norms: Female#0249	setAQ 
QQQ10242.	Hall/VdC Norms: Female#0250	setOD setIG setOG 
QQQ10243.	Hall/VdC Norms: Female#0251	setIU 
QQQ10244.	Hall/VdC Norms: Female#0252	setIF 
QQQ10245.	Hall/VdC Norms: Female#0253	setIU 
QQQ10246.	Hall/VdC Norms: Female#0254	setIQ 
QQQ10247.	Hall/VdC Norms: Female#0255	setOQ 
QQQ10248.	Hall/VdC Norms: Female#0256	setID 
QQQ10249.	Hall/VdC Norms: Female#0257	setOF setIF 
QQQ10250.	Hall/VdC Norms: Female#0258	setIF setIF 
QQQ10251.	Hall/VdC Norms: Female#0259	setOQ setIF setOF 
QQQ10252.	Hall/VdC Norms: Female#0260	setIF 
QQQ10253.	Hall/VdC Norms: Female#0261	setIF 
QQQ10254.	Hall/VdC Norms: Female#0262	setOG 
QQQ10255.	Hall/VdC Norms: Female#0263	setIF 
QQQ10256.	Hall/VdC Norms: Female#0264	setID 
QQQ10257.	Hall/VdC Norms: Female#0265	setIQ 
QQQ10258.	Hall/VdC Norms: Female#0266	setOQ 
QQQ10259.	Hall/VdC Norms: Female#0267	setIQ 
QQQ10260.	Hall/VdC Norms: Female#0268	setAQ 
QQQ10261.	Hall/VdC Norms: Female#0269	setIU 
QQQ10262.	Hall/VdC Norms: Female#0270	setIF 
QQQ10263.	Hall/VdC Norms: Female#0271	setOQ 
QQQ10264.	Hall/VdC Norms: Female#0272	setAQ 
QQQ10265.	Hall/VdC Norms: Female#0273	setAG setIQ 
QQQ10266.	Hall/VdC Norms: Female#0274	setOQ 
QQQ10267.	Hall/VdC Norms: Female#0275	setOQ setIU 
QQQ10268.	Hall/VdC Norms: Female#0276	setIQ 
QQQ10269.	Hall/VdC Norms: Female#0277	setIQ 
QQQ10270.	Hall/VdC Norms: Female#0278	setIQ 
QQQ10271.	Hall/VdC Norms: Female#0279	setIQ 
QQQ10272.	Hall/VdC Norms: Female#0280	setOF 
QQQ10273.	Hall/VdC Norms: Female#0281	setIQ 
QQQ10274.	Hall/VdC Norms: Female#0282	setAQ 
QQQ10275.	Hall/VdC Norms: Female#0283	setIF 
QQQ10276.	Hall/VdC Norms: Female#0284	setAQ 
QQQ10277.	Hall/VdC Norms: Female#0285	setIQ 
QQQ10278.	Hall/VdC Norms: Female#0286	setIU setOU 
QQQ10279.	Hall/VdC Norms: Female#0287	setIQ 
QQQ10280.	Hall/VdC Norms: Female#0288	setOF setOF 
QQQ10281.	Hall/VdC Norms: Female#0289	setID 
QQQ10282.	Hall/VdC Norms: Female#0290	setOQ 
QQQ10283.	Hall/VdC Norms: Female#0291	setOQ setIU 
QQQ10284.	Hall/VdC Norms: Female#0292	setOF 
QQQ10285.	Hall/VdC Norms: Female#0293	setOQ 
QQQ10286.	Hall/VdC Norms: Female#0294	setIF 
QQQ10287.	Hall/VdC Norms: Female#0295	setIQ 
QQQ10288.	Hall/VdC Norms: Female#0296	setOQ setIU setIF 
QQQ10289.	Hall/VdC Norms: Female#0297	setIQ setID setIQ 
QQQ10290.	Hall/VdC Norms: Female#0298	setIQ setOQ 
QQQ10291.	Hall/VdC Norms: Female#0299	setIQ setOF 
QQQ10292.	Hall/VdC Norms: Female#0300	setOQ 
QQQ10293.	Hall/VdC Norms: Female#0301	setIU setIU 
QQQ10294.	Hall/VdC Norms: Female#0302	setIF setIF 
QQQ10295.	Hall/VdC Norms: Female#0303	setIU 
QQQ10296.	Hall/VdC Norms: Female#0304	setAQ setIF 
QQQ10297.	Hall/VdC Norms: Female#0306	setID 
QQQ10298.	Hall/VdC Norms: Female#0307	setIQ 
QQQ10299.	Hall/VdC Norms: Female#0308	setOQ setOF 
QQQ10300.	Hall/VdC Norms: Female#0309	setOF 
QQQ10301.	Hall/VdC Norms: Female#0310	setIF 
QQQ10302.	Hall/VdC Norms: Female#0311	setIQ setOD setIQ setOD 
QQQ10303.	Hall/VdC Norms: Female#0312	setOG 
QQQ10304.	Hall/VdC Norms: Female#0313	setIQ setOQ 
QQQ10305.	Hall/VdC Norms: Female#0314	setOQ 
QQQ10306.	Hall/VdC Norms: Female#0315	setAD setIF setOQ 
QQQ10307.	Hall/VdC Norms: Female#0316	setIF 
QQQ10308.	Hall/VdC Norms: Female#0317	setOQ 
QQQ10309.	Hall/VdC Norms: Female#0318	setAQ 
QQQ10310.	Hall/VdC Norms: Female#0319	setAQ 
QQQ10311.	Hall/VdC Norms: Female#0320	setAQ 
QQQ10312.	Hall/VdC Norms: Female#0321	setOQ 
QQQ10313.	Hall/VdC Norms: Female#0322	setIF 
QQQ10314.	Hall/VdC Norms: Female#0323	setID 
QQQ10315.	Hall/VdC Norms: Female#0324	setIQ 
QQQ10316.	Hall/VdC Norms: Female#0325	setIF 
QQQ10317.	Hall/VdC Norms: Female#0326	setIU 
QQQ10318.	Hall/VdC Norms: Female#0327	setID 
QQQ10319.	Hall/VdC Norms: Female#0328	setOQ 
QQQ10320.	Hall/VdC Norms: Female#0330	setIF 
QQQ10321.	Hall/VdC Norms: Female#0331	setID 
QQQ10322.	Hall/VdC Norms: Female#0332	setIF 
QQQ10323.	Hall/VdC Norms: Female#0333	setOF setIU 
QQQ10324.	Hall/VdC Norms: Female#0334	setIQ 
QQQ10325.	Hall/VdC Norms: Female#0335	setIQ setIQ 
QQQ10326.	Hall/VdC Norms: Female#0336	setOQ 
QQQ10327.	Hall/VdC Norms: Female#0337	setIQ 
QQQ10328.	Hall/VdC Norms: Female#0338	setOQ setOF setIF 
QQQ10329.	Hall/VdC Norms: Female#0339	setIQ setID 
QQQ10330.	Hall/VdC Norms: Female#0340	setAF 
QQQ10331.	Hall/VdC Norms: Female#0341	setIQ 
QQQ10332.	Hall/VdC Norms: Female#0342	setIQ 
QQQ10333.	Hall/VdC Norms: Female#0343	setOF 
QQQ10334.	Hall/VdC Norms: Female#0344	setIF 
QQQ10335.	Hall/VdC Norms: Female#0345	setIQ 
QQQ10336.	Hall/VdC Norms: Female#0348	setIQ 
QQQ10337.	Hall/VdC Norms: Female#0349	setIF 
QQQ10338.	Hall/VdC Norms: Female#0350	setIQ setOQ 
QQQ10339.	Hall/VdC Norms: Female#0351	setOF setIF 
QQQ10340.	Hall/VdC Norms: Female#0352	setOQ setIQ 
QQQ10341.	Hall/VdC Norms: Female#0355	setOQ 
QQQ10342.	Hall/VdC Norms: Female#0356	setAQ 
QQQ10343.	Hall/VdC Norms: Female#0357	setIQ 
QQQ10344.	Hall/VdC Norms: Female#0358	setIQ 
QQQ10345.	Hall/VdC Norms: Female#0359	setOU 
QQQ10346.	Hall/VdC Norms: Female#0360	setOQ 
QQQ10347.	Hall/VdC Norms: Female#0361	setOF setIF 
QQQ10348.	Hall/VdC Norms: Female#0362	setOD 
QQQ10349.	Hall/VdC Norms: Female#0363	setOQ 
QQQ10350.	Hall/VdC Norms: Female#0364	setIF 
QQQ10351.	Hall/VdC Norms: Female#0365	setIF setOF setIQ 
QQQ10352.	Hall/VdC Norms: Female#0369	setOQ 
QQQ10353.	Hall/VdC Norms: Female#0370	setIF setIF setIF 
QQQ10354.	Hall/VdC Norms: Female#0371	setIQ 
QQQ10355.	Hall/VdC Norms: Female#0372	setOF 
QQQ10356.	Hall/VdC Norms: Female#0373	setIF 
QQQ10357.	Hall/VdC Norms: Female#0374	setID 
QQQ10358.	Hall/VdC Norms: Female#0375	setIF 
QQQ10359.	Hall/VdC Norms: Female#0376	setIF 
QQQ10360.	Hall/VdC Norms: Female#0377	setIF 
QQQ10361.	Hall/VdC Norms: Female#0378	setOD 
QQQ10362.	Hall/VdC Norms: Female#0379	setAQ 
QQQ10363.	Hall/VdC Norms: Female#0380	setAF setOF 
QQQ10364.	Hall/VdC Norms: Female#0381	setOG 
QQQ10365.	Hall/VdC Norms: Female#0382	setOU setIU 
QQQ10366.	Hall/VdC Norms: Female#0383	setOQ 
QQQ10367.	Hall/VdC Norms: Female#0384	setOU 
QQQ10368.	Hall/VdC Norms: Female#0385	setOF 
QQQ10369.	Hall/VdC Norms: Female#0386	setOQ 
QQQ10370.	Hall/VdC Norms: Female#0387	setOF setIF 
QQQ10371.	Hall/VdC Norms: Female#0388	setAQ 
QQQ10372.	Hall/VdC Norms: Female#0389	setIF 
QQQ10373.	Hall/VdC Norms: Female#0390	setIQ 
QQQ10374.	Hall/VdC Norms: Female#0391	setOQ setOF 
QQQ10375.	Hall/VdC Norms: Female#0392	setIQ 
QQQ10376.	Hall/VdC Norms: Female#0393	setOF 
QQQ10377.	Hall/VdC Norms: Female#0394	setID 
QQQ10378.	Hall/VdC Norms: Female#0395	setIQ 
QQQ10379.	Hall/VdC Norms: Female#0396	setIF 
QQQ10380.	Hall/VdC Norms: Female#0397	setOF setOQ 
QQQ10381.	Hall/VdC Norms: Female#0398	setAQ 
QQQ10382.	Hall/VdC Norms: Female#0399	setIQ 
QQQ10383.	Hall/VdC Norms: Female#0400	setIF 
QQQ10384.	Hall/VdC Norms: Female#0401	setIF 
QQQ10385.	Hall/VdC Norms: Female#0402	setIF 
QQQ10386.	Hall/VdC Norms: Female#0403	setIF setIF setIF 
QQQ10387.	Hall/VdC Norms: Female#0404	setOF 
QQQ10388.	Hall/VdC Norms: Female#0405	setOQ 
QQQ10389.	Hall/VdC Norms: Female#0406	setOQ 
QQQ10390.	Hall/VdC Norms: Female#0407	setAQ 
QQQ10391.	Hall/VdC Norms: Female#0408	setOF setIF 
