
QQQ9994.	Hall/VdC Norms: Female#0001	1MKA 1FMA 1IUA 1MKA 
QQQ10338.	Hall/VdC Norms: Female#0350	2FKA 2MKA 2MUA 1MKA 1FKA 2MUA 
QQQ10339.	Hall/VdC Norms: Female#0351	1FMA 1MKA 2MUA 1MUA 
QQQ10340.	Hall/VdC Norms: Female#0352	1MKA 1MKA 2MOA 1MUA 
QQQ10341.	Hall/VdC Norms: Female#0355	1FMA 1FKA 2FKA 7FKA 8FEA 
QQQ10342.	Hall/VdC Norms: Female#0356	1FKA 1MKA 
QQQ10343.	Hall/VdC Norms: Female#0357	2MUA 1FMA 1FSA 1MUA 
QQQ10344.	Hall/VdC Norms: Female#0358	2IUA 2IUA 2ANI 1ANI 1IUA 
QQQ10345.	Hall/VdC Norms: Female#0359	1MOA 1FSA 2JUA 
QQQ10346.	Hall/VdC Norms: Female#0360	1MKA 
QQQ10347.	Hall/VdC Norms: Female#0361	2JSA 2MOA 1ANI 
QQQ10348.	Hall/VdC Norms: Female#0362	2ANI 1ANI 
QQQ10349.	Hall/VdC Norms: Female#0363	1ANI 
QQQ10350.	Hall/VdC Norms: Female#0364	1ANI 
QQQ10351.	Hall/VdC Norms: Female#0365	1FRB 1FTA 1MRA 1MEA 2JKA 1MOA 
QQQ10352.	Hall/VdC Norms: Female#0369	2ANI 
QQQ10353.	Hall/VdC Norms: Female#0370	1MRA 1MSC 1FKA 1MKA 2JKA 
QQQ10354.	Hall/VdC Norms: Female#0371	2JOA 
QQQ10355.	Hall/VdC Norms: Female#0372	2JYA 1FSC 1MOA 1IKA 
QQQ10356.	Hall/VdC Norms: Female#0373	1MKA 1MKA 
QQQ10357.	Hall/VdC Norms: Female#0374	1ISA 
QQQ10358.	Hall/VdC Norms: Female#0375	1IKA 
QQQ10359.	Hall/VdC Norms: Female#0376	2JXA 
QQQ10360.	Hall/VdC Norms: Female#0377	1MFA 2JSA 1MFA 1FRA 2ISA 
QQQ10361.	Hall/VdC Norms: Female#0378	2FKA 1FKA 2FKA 
QQQ10362.	Hall/VdC Norms: Female#0379	1MKA 2JKA 2JXA 
QQQ10363.	Hall/VdC Norms: Female#0380	1FMA 
QQQ10364.	Hall/VdC Norms: Female#0381	1FKA 
QQQ10365.	Hall/VdC Norms: Female#0382	1MUA 1MEA 
QQQ10366.	Hall/VdC Norms: Female#0383	2FKA 
QQQ10367.	Hall/VdC Norms: Female#0384	2JKA 2MOA 1IKA 2JSA 1MSA 
QQQ10368.	Hall/VdC Norms: Female#0385	1MKA 
QQQ10369.	Hall/VdC Norms: Female#0386	1MKA 1FMA 
QQQ10370.	Hall/VdC Norms: Female#0387	2JUA 1MUT 1ANI 1MRA 1MSA 
QQQ10371.	Hall/VdC Norms: Female#0388	1FMA 1FTA 2JUA 1MUA 
QQQ10372.	Hall/VdC Norms: Female#0389	1FKA 2JSA 1MKA 1FKA 1FMA 1FTA 1FSA 
QQQ10373.	Hall/VdC Norms: Female#0390	1MUA 1MOA 2JOA 2JSC 
QQQ10374.	Hall/VdC Norms: Female#0391	1ANI 1MRA 
QQQ10375.	Hall/VdC Norms: Female#0392	2FSA 2JSC 
QQQ10376.	Hall/VdC Norms: Female#0393	1MUA 1ANI 1ANI 1MKA 
QQQ10377.	Hall/VdC Norms: Female#0394	1MPA 2MSA 
QQQ10378.	Hall/VdC Norms: Female#0395	1IOA 1FKA 
QQQ10379.	Hall/VdC Norms: Female#0396	1ANI 1ANI 1FTA 
QQQ10380.	Hall/VdC Norms: Female#0397	2FUA 1FKA 1MKA 1MKA 
QQQ10381.	Hall/VdC Norms: Female#0398	2JKA 1MKA 1FKA 
QQQ10382.	Hall/VdC Norms: Female#0399	1MFA 1FMA 1MHA 5MAB 
QQQ10383.	Hall/VdC Norms: Female#0400	2FKA 1FKA 1MKA 1FUA 
QQQ10384.	Hall/VdC Norms: Female#0401	1FKA 2FKA 1FKA 2MOA 2MOA 
QQQ10385.	Hall/VdC Norms: Female#0402	2IOA 1FOA 
QQQ10386.	Hall/VdC Norms: Female#0403	1FKA 2JKA 1MKA 1FKA 
QQQ10387.	Hall/VdC Norms: Female#0404	2IUA 1FKA 1MSA 
QQQ10388.	Hall/VdC Norms: Female#0405	1MFA 2MKA 2ANI 
QQQ10389.	Hall/VdC Norms: Female#0406	2JUA 1MUA 
QQQ10390.	Hall/VdC Norms: Female#0407	7MFA 8MPA 1MBA 2ISA 
QQQ10391.	Hall/VdC Norms: Female#0408	1FRA 2JYA 1FRA 
QQQ10392.	Hall/VdC Norms: Female#0409	1MFA 1FOA 
QQQ10393.	Hall/VdC Norms: Female#0410	1FKA 1MKA 
QQQ10394.	Hall/VdC Norms: Female#0411	1FKA 1FRA 1MRA 
QQQ10395.	Hall/VdC Norms: Female#0412	1MUA 2ANI 2ANI 
QQQ10396.	Hall/VdC Norms: Female#0413	1MOA 
QQQ10397.	Hall/VdC Norms: Female#0414	1ANI 
QQQ10398.	Hall/VdC Norms: Female#0415	2MOA 1MSA 2MSA 
QQQ10399.	Hall/VdC Norms: Female#0416	2JSA 1ISA 1FEA 1FSA 
QQQ10400.	Hall/VdC Norms: Female#0417	1FRC 1FMA 1FTA 
QQQ10401.	Hall/VdC Norms: Female#0418	1MHA 2MOA 
QQQ10402.	Hall/VdC Norms: Female#0419	1MHA 2FUA 1FUA 
QQQ10403.	Hall/VdC Norms: Female#0420	1FSA 1MSA 
QQQ10404.	Hall/VdC Norms: Female#0421	1FMA 
QQQ10405.	Hall/VdC Norms: Female#0422	2JUA 
QQQ10406.	Hall/VdC Norms: Female#0423	1FPA 2JUA 
QQQ10407.	Hall/VdC Norms: Female#0424	2JKA 
QQQ10408.	Hall/VdC Norms: Female#0425	2JSA 2MEA 1FMA 1MEA 
QQQ10409.	Hall/VdC Norms: Female#0426	1FKA 2MUT 1MUT 1MOA 
QQQ10410.	Hall/VdC Norms: Female#0427	2JSA 1FKA 2JSA 
QQQ10411.	Hall/VdC Norms: Female#0428	1IKA 2JSA 1ISA 
QQQ10412.	Hall/VdC Norms: Female#0429	2JSA 2JEA 
QQQ10413.	Hall/VdC Norms: Female#0430	1MFA 
QQQ10414.	Hall/VdC Norms: Female#0431	1ANI 
QQQ10415.	Hall/VdC Norms: Female#0432	2JUC 2MOA 1MKA 
QQQ10416.	Hall/VdC Norms: Female#0433	2JXA 
QQQ10417.	Hall/VdC Norms: Female#0434	2JKA 1FRA 
QQQ10418.	Hall/VdC Norms: Female#0435	1FKA 1FKA 
QQQ10419.	Hall/VdC Norms: Female#0436	7MKA 8MKA 
QQQ10420.	Hall/VdC Norms: Female#0437	1MKA 2JUC 1FRA 
QQQ10421.	Hall/VdC Norms: Female#0438	2FKA 1FKA 1FKA 1ANI 2FKA 2ANI 
QQQ10422.	Hall/VdC Norms: Female#0439	2MSA 1ISA 
QQQ10423.	Hall/VdC Norms: Female#0440	1FRA 1ANI 1ANI 1FMA 
QQQ10424.	Hall/VdC Norms: Female#0441	1FRA 2JKA 2JXA 
QQQ10425.	Hall/VdC Norms: Female#0442	1FSA 1IOA 2IOA 1IKA 
QQQ10426.	Hall/VdC Norms: Female#0443	1FMA 1FKA 1MKA 2JUA 
QQQ10427.	Hall/VdC Norms: Female#0444	1FKA 1MKA 
QQQ10428.	Hall/VdC Norms: Female#0445	2FKA 1MKA 2FKA 
QQQ10429.	Hall/VdC Norms: Female#0446	1FKA 
QQQ10430.	Hall/VdC Norms: Female#0447	1FKA 
QQQ10431.	Hall/VdC Norms: Female#0448	2IRC 1FUC 1IUA 1MRA 1FTA 
QQQ10432.	Hall/VdC Norms: Female#0449	1FKA 2IUA 1FKA 1FKA 
QQQ10433.	Hall/VdC Norms: Female#0450	2ISA 2FSC 
QQQ10434.	Hall/VdC Norms: Female#0451	1MKA 2MUA 1FRA 1IUA 
QQQ10435.	Hall/VdC Norms: Female#0452	1MKA 
QQQ10436.	Hall/VdC Norms: Female#0453	2MSA 1ANI 1IUA 
QQQ10437.	Hall/VdC Norms: Female#0454	1MKA 1IUA 2JSA 2ANI 
QQQ10438.	Hall/VdC Norms: Female#0455	1ANI 1FSA 2JSA 2JSA 1FSA 1ISA 
QQQ10439.	Hall/VdC Norms: Female#0456	1MFA 
QQQ10440.	Hall/VdC Norms: Female#0457	1FKA 1MUA 1MFA 1FMA 
QQQ10441.	Hall/VdC Norms: Female#0458	1FKA 1MKA 2FKA 
QQQ10442.	Hall/VdC Norms: Female#0459	1FKA 1MSA 2JSA 1MOA 
QQQ10443.	Hall/VdC Norms: Female#0460	2JUA 1IUA 
QQQ10444.	Hall/VdC Norms: Female#0461	
QQQ10445.	Hall/VdC Norms: Female#0462	2JKA 1FKA 1MHA 
QQQ10446.	Hall/VdC Norms: Female#0463	1MSA 1MSA 2JSA 
QQQ10447.	Hall/VdC Norms: Female#0464	1MSA 1FSA 1FSA 
QQQ10448.	Hall/VdC Norms: Female#0465	2ANI 1ANI 
QQQ10449.	Hall/VdC Norms: Female#0466	2JSA 
QQQ10450.	Hall/VdC Norms: Female#0467	2FUA 1FUA 1MSA 
QQQ10451.	Hall/VdC Norms: Female#0468	1FSA 1MKA 
QQQ10452.	Hall/VdC Norms: Female#0469	2FSA 1MKA 1FKA 
QQQ10453.	Hall/VdC Norms: Female#0470	2ISA 2ANI 
QQQ10454.	Hall/VdC Norms: Female#0471	2JSA 1FKA 1FOA 2JUA 2JKA 1MKA 
QQQ10455.	Hall/VdC Norms: Female#0472	2FUA 2MSA 1FKA 
QQQ10456.	Hall/VdC Norms: Female#0473	1MOA 1FMA 1MFA 
QQQ10457.	Hall/VdC Norms: Female#0474	2JUA 2FKA 2FKA 
QQQ10458.	Hall/VdC Norms: Female#0475	1MKA 2MOA 1MRA 
QQQ10459.	Hall/VdC Norms: Female#0476	2JUA 2ANI 1FKC 1MHA 1MBA 
QQQ10460.	Hall/VdC Norms: Female#0477	
QQQ10461.	Hall/VdC Norms: Female#0478	1FKA 1FUA 1FKA 
QQQ10462.	Hall/VdC Norms: Female#0479	2FUA 
QQQ10463.	Hall/VdC Norms: Female#0480	
QQQ10464.	Hall/VdC Norms: Female#0481	2FSA 1FKA 1FMA 1FTA 1MRC 
QQQ10465.	Hall/VdC Norms: Female#0482	2JUA 1MUA 2JRA 2JYA 
QQQ10466.	Hall/VdC Norms: Female#0483	1FRA 1FKA 1FOA 2FKA 2MUA 
QQQ10467.	Hall/VdC Norms: Female#0484	2ANI 2JSA 1MSC 1FUA 1IUB 2JUA 2ANI 
QQQ10468.	Hall/VdC Norms: Female#0485	1FKA 
QQQ10469.	Hall/VdC Norms: Female#0486	1ISA 2JXA 1MFA 
QQQ10470.	Hall/VdC Norms: Female#0487	1FMA 1FKA 1FUA 1IUB 
QQQ10471.	Hall/VdC Norms: Female#0488	1MKA 1FUA 
QQQ10472.	Hall/VdC Norms: Female#0489	1MKA 1MKC 1ANI 
QQQ10473.	Hall/VdC Norms: Female#0490	2JXA 1FRA 
QQQ10474.	Hall/VdC Norms: Female#0491	1MFA 1MUA 2JUA 1FMA 2IOA 
QQQ10475.	Hall/VdC Norms: Female#0492	2MOA 
QQQ10476.	Hall/VdC Norms: Female#0493	1FOA 1MFA 
QQQ10477.	Hall/VdC Norms: Female#0494	1MKA 1MKA 1FKA 1MSA 2FKA 1MKA 1MKA 
QQQ10478.	Hall/VdC Norms: Female#0495	1MKA 1FRA 
QQQ10479.	Hall/VdC Norms: Female#0496	1ISA 1FUA 1FKA 
QQQ10480.	Hall/VdC Norms: Female#0497	1MKA 2JSA 
QQQ10481.	Hall/VdC Norms: Female#0498	1MKA 1MKA 1FKA 
QQQ10482.	Hall/VdC Norms: Female#0499	1FKA 1FKA 
QQQ10483.	Hall/VdC Norms: Female#0500	1MKA 1MFA 
QQQ10484.	Hall/VdC Norms: Male#0001	2JUA 2FUA 1MKA 
QQQ10485.	Hall/VdC Norms: Male#0002	2JKA 1MKA 
QQQ10486.	Hall/VdC Norms: Male#0003	1MKA 1MKA 1ANI 
QQQ10487.	Hall/VdC Norms: Male#0004	2MUA 1ANI 
QQQ10488.	Hall/VdC Norms: Male#0005	2MUA 1MKA 1FKA 
QQQ10489.	Hall/VdC Norms: Male#0006	1FUA 1MPA 
QQQ10490.	Hall/VdC Norms: Male#0007	1FUA 1MUA 
QQQ10491.	Hall/VdC Norms: Male#0008	1FWA 2JSA 
QQQ10492.	Hall/VdC Norms: Male#0009	1ANI 2MOA 
QQQ10493.	Hall/VdC Norms: Male#0010	1ANI 2ANI 
QQQ10494.	Hall/VdC Norms: Male#0011	2MKA 2FUA 1MOA 1MKA 
QQQ10495.	Hall/VdC Norms: Male#0012	1FKA 2JUA 1MFA 
QQQ10496.	Hall/VdC Norms: Male#0013	1MSA 1MKA 
QQQ10497.	Hall/VdC Norms: Male#0014	2MKA 1MKA 
QQQ10498.	Hall/VdC Norms: Male#0015	2JUA 1MAC 2JUA 1MFA 
QQQ10499.	Hall/VdC Norms: Male#0016	1FPA 
QQQ10500.	Hall/VdC Norms: Male#0017	1FKA 
QQQ10501.	Hall/VdC Norms: Male#0018	1MSA 1MOA 
QQQ10502.	Hall/VdC Norms: Male#0019	
QQQ10503.	Hall/VdC Norms: Male#0020	2MOA 1MOA 2MOA 2MOA 
QQQ10504.	Hall/VdC Norms: Male#0021	1MKA 1MKA 
QQQ10505.	Hall/VdC Norms: Male#0022	1MKA 
QQQ10506.	Hall/VdC Norms: Male#0023	1FKA 2JKA 1MKA 
QQQ10507.	Hall/VdC Norms: Male#0024	1FKA 2JSA 
QQQ10508.	Hall/VdC Norms: Male#0025	2JSA 1FKA 
QQQ10509.	Hall/VdC Norms: Male#0026	1FWA 1MOA 
QQQ10510.	Hall/VdC Norms: Male#0027	2JSA 1MPA 
QQQ10511.	Hall/VdC Norms: Male#0028	1FSA 2JSA 1ISA 
QQQ10512.	Hall/VdC Norms: Male#0029	
QQQ10513.	Hall/VdC Norms: Male#0030	1MOA 1MUA 
QQQ10514.	Hall/VdC Norms: Male#0031	
QQQ10515.	Hall/VdC Norms: Male#0032	1MKA 
QQQ10516.	Hall/VdC Norms: Male#0033	2ANI 
QQQ10517.	Hall/VdC Norms: Male#0034	1MFA 1MKA 
QQQ10518.	Hall/VdC Norms: Male#0035	
QQQ10519.	Hall/VdC Norms: Male#0036	2JSA 1MOA 2MOA 1IUA 1FKA 
QQQ10520.	Hall/VdC Norms: Male#0037	1FKA 1FOA 2MUA 
QQQ10521.	Hall/VdC Norms: Male#0038	1FKA 
QQQ10522.	Hall/VdC Norms: Male#0039	1MOA 
QQQ10523.	Hall/VdC Norms: Male#0040	2JSA 2JSC 
QQQ10524.	Hall/VdC Norms: Male#0041	1IUA 2MOA 2JUA 2MUA 1MOA 1MOA 
QQQ10525.	Hall/VdC Norms: Male#0042	1MKA 1MKA 2MKA 1IUA 2JUA 
QQQ10526.	Hall/VdC Norms: Male#0043	1MFA 1FMA 1FUA 2JUA 
QQQ10527.	Hall/VdC Norms: Male#0044	1MSA 2JSA 2MSA 1ISB 2MUA 2MSA 
QQQ10528.	Hall/VdC Norms: Male#0045	2FUA 1IUA 
QQQ10529.	Hall/VdC Norms: Male#0046	1MKA 1MUA 
QQQ10530.	Hall/VdC Norms: Male#0047	2JUA 1FKA 1FKA 
QQQ10531.	Hall/VdC Norms: Male#0048	
QQQ10532.	Hall/VdC Norms: Male#0049	1FKA 1MKA 1FKA 
QQQ10533.	Hall/VdC Norms: Male#0050	1FKA 
QQQ10534.	Hall/VdC Norms: Male#0051	1FSA 
QQQ10535.	Hall/VdC Norms: Male#0052	1MOA 
QQQ10536.	Hall/VdC Norms: Male#0053	1MSA 1ISA 
QQQ10537.	Hall/VdC Norms: Male#0054	2MUA 1MSA 
QQQ10538.	Hall/VdC Norms: Male#0055	1MKA 1MOA 
QQQ10539.	Hall/VdC Norms: Male#0056	2FOA 2MOA 2JUA 
QQQ10540.	Hall/VdC Norms: Male#0057	1MKA 1MOA 1ANI 
QQQ10541.	Hall/VdC Norms: Male#0058	2MKA 2MEA 1MEA 1MSA 
QQQ10542.	Hall/VdC Norms: Male#0059	1ANI 1MRA 1MFA 
QQQ10543.	Hall/VdC Norms: Male#0060	1MUA 1MUA 1FKA 
QQQ10544.	Hall/VdC Norms: Male#0061	1ISA 
QQQ10545.	Hall/VdC Norms: Male#0062	2FSA 1FSA 
QQQ10546.	Hall/VdC Norms: Male#0063	1MKA 1MPA 1MKA 2MKA 
QQQ10547.	Hall/VdC Norms: Male#0064	1FKA 
QQQ10548.	Hall/VdC Norms: Male#0065	1ANI 1ANI 
QQQ10549.	Hall/VdC Norms: Male#0066	1FKA 2JSA 1ANI 2ANI 
QQQ10550.	Hall/VdC Norms: Male#0067	1FKA 1MKA 
QQQ10551.	Hall/VdC Norms: Male#0068	1FKA 
QQQ10552.	Hall/VdC Norms: Male#0069	1MKA 1MKA 
QQQ10553.	Hall/VdC Norms: Male#0070	1MSA 1FSA 2MKA 
QQQ10554.	Hall/VdC Norms: Male#0071	1FUA 1MKA 2JKA 1MUA 
QQQ10555.	Hall/VdC Norms: Male#0072	1MFA 1FMA 
QQQ10556.	Hall/VdC Norms: Male#0073	1ANI 
QQQ10557.	Hall/VdC Norms: Male#0074	1MKA 
QQQ10558.	Hall/VdC Norms: Male#0075	1MUA 2MKA 2MKA 
QQQ10559.	Hall/VdC Norms: Male#0076	2JOA 
QQQ10560.	Hall/VdC Norms: Male#0077	
QQQ10561.	Hall/VdC Norms: Male#0078	1FKA 1FKA 2FKA 2MKA 1MKA 
QQQ10562.	Hall/VdC Norms: Male#0079	1FKA 
QQQ10563.	Hall/VdC Norms: Male#0080	1MOA 
QQQ10564.	Hall/VdC Norms: Male#0081	2MOA 2MOA 2ANI 
QQQ10565.	Hall/VdC Norms: Male#0082	1MFA 1FKA 
QQQ10566.	Hall/VdC Norms: Male#0083	2MOA 1MOA 2MOA 
QQQ10567.	Hall/VdC Norms: Male#0084	2JUA 1FUA 
QQQ10568.	Hall/VdC Norms: Male#0085	1MSA 2MOA 
QQQ10569.	Hall/VdC Norms: Male#0086	2JUA 1FKA 1MUA 1FKA 
QQQ10570.	Hall/VdC Norms: Male#0087	1MPA 1FPA 
QQQ10571.	Hall/VdC Norms: Male#0088	1FOA 1MKA 1IOA 1IOA 
QQQ10572.	Hall/VdC Norms: Male#0089	1MKA 2JXA 1FTA 
QQQ10573.	Hall/VdC Norms: Male#0090	1FKA 2JKA 1FKA 2JUA 1MKA 
QQQ10574.	Hall/VdC Norms: Male#0091	1FKA 1MBA 1FRA 
QQQ10575.	Hall/VdC Norms: Male#0092	2MSA 1MSA 
QQQ10576.	Hall/VdC Norms: Male#0093	1ISA 
QQQ10577.	Hall/VdC Norms: Male#0094	
QQQ10578.	Hall/VdC Norms: Male#0095	1FSA 1MKA 
QQQ10579.	Hall/VdC Norms: Male#0096	
QQQ10580.	Hall/VdC Norms: Male#0097	1MPA 
QQQ10581.	Hall/VdC Norms: Male#0098	1IUA 1IUA 
QQQ10582.	Hall/VdC Norms: Male#0099	2IUA 1FUA 
QQQ10583.	Hall/VdC Norms: Male#0100	
QQQ10584.	Hall/VdC Norms: Male#0101	1MRA 1FSA 
QQQ10585.	Hall/VdC Norms: Male#0102	2MOA 1MOA 
QQQ10586.	Hall/VdC Norms: Male#0103	2MOA 2MOA 2MOA 1MKA 
QQQ10587.	Hall/VdC Norms: Male#0104	1FKA 1MKA 2JKA 1MKA 
QQQ10588.	Hall/VdC Norms: Male#0105	2MKA 1MSA 1MKA 1MSA 1MFA 
QQQ10589.	Hall/VdC Norms: Male#0110	2MEA 1MSA 1MRA 1FRA 1MRA 
QQQ10590.	Hall/VdC Norms: Male#0111	1MSA 
QQQ10591.	Hall/VdC Norms: Male#0112	1ISA 
QQQ10592.	Hall/VdC Norms: Male#0113	2MOA 
QQQ10593.	Hall/VdC Norms: Male#0114	2MKA 1MSA 1FSA 
QQQ10594.	Hall/VdC Norms: Male#0115	2MSA 1MKA 
QQQ10595.	Hall/VdC Norms: Male#0116	1FMA 
QQQ10596.	Hall/VdC Norms: Male#0117	2MSA 
QQQ10597.	Hall/VdC Norms: Male#0118	1MUA 2JXA 
QQQ10598.	Hall/VdC Norms: Male#0119	2JSA 
QQQ10599.	Hall/VdC Norms: Male#0120	2JKA 
QQQ10600.	Hall/VdC Norms: Male#0121	1FUA 2JOA 1MOA 
QQQ10601.	Hall/VdC Norms: Male#0122	2JSA 2JSA 1IRA 
QQQ10602.	Hall/VdC Norms: Male#0123	1MKA 1FKA 1FKA 
QQQ10603.	Hall/VdC Norms: Male#0124	1MSA 2JYA 1MFA 
QQQ10604.	Hall/VdC Norms: Male#0125	2JSA 2JSC 
QQQ10605.	Hall/VdC Norms: Male#0126	1MSA 1FTA 1ANI 1ANI 
QQQ10606.	Hall/VdC Norms: Male#0127	1FTA 
QQQ10607.	Hall/VdC Norms: Male#0128	1MUA 1FUA 2JXA 2JUA 
QQQ10608.	Hall/VdC Norms: Male#0129	1MOA 
QQQ10609.	Hall/VdC Norms: Male#0130	1IUA 1FMA 
QQQ10610.	Hall/VdC Norms: Male#0131	1MOA 1FOA 
QQQ10611.	Hall/VdC Norms: Male#0132	2MOA 
QQQ10612.	Hall/VdC Norms: Male#0133	1FTC 
QQQ10613.	Hall/VdC Norms: Male#0134	
QQQ10614.	Hall/VdC Norms: Male#0135	2MKA 1MSA 1FSA 
QQQ10615.	Hall/VdC Norms: Male#0136	1MKA 
QQQ10616.	Hall/VdC Norms: Male#0137	1FKA 2JSA 1MKA 
QQQ10617.	Hall/VdC Norms: Male#0138	
QQQ10618.	Hall/VdC Norms: Male#0139	2MOA 1MKA 1MUA 1MUA 
QQQ10619.	Hall/VdC Norms: Male#0140	1MKA 2IUA 2MSA 
QQQ10620.	Hall/VdC Norms: Male#0141	1IUA 2MSA 2JKA 
QQQ10621.	Hall/VdC Norms: Male#0142	2MOA 1MKA 1MKA 
QQQ10622.	Hall/VdC Norms: Male#0143	1FMA 1FRA 2JEA 
QQQ10623.	Hall/VdC Norms: Male#0144	2MUA 2FUA 1FUA 1MUA 1MKA 
QQQ10624.	Hall/VdC Norms: Male#0145	2MKA 1MKA 1MKA 1ANI 1ANI 1ANI 2ANI 2MOA 
QQQ10625.	Hall/VdC Norms: Male#0146	1FMA 1MFA 1FKA 2ISA 1ANI 
QQQ10626.	Hall/VdC Norms: Male#0147	1FUA 2JUA 
QQQ10627.	Hall/VdC Norms: Male#0148	1FSC 1MSA 
QQQ10628.	Hall/VdC Norms: Male#0149	1MSA 
QQQ10629.	Hall/VdC Norms: Male#0150	1FRC 
QQQ10630.	Hall/VdC Norms: Male#0151	1MFA 1MBT 1IKA 2FSA 1FSA 1FSA 
QQQ10631.	Hall/VdC Norms: Male#0152	1MBT 2JXA 2JSA 1MSA 1ISA 
QQQ10632.	Hall/VdC Norms: Male#0153	1MSA 1FSA 
QQQ10633.	Hall/VdC Norms: Male#0154	2MKA 2MSA 2MOA 2MOA 
QQQ10634.	Hall/VdC Norms: Male#0155	1FKA 1MKA 2JSA 
QQQ10635.	Hall/VdC Norms: Male#0156	2IOA 
QQQ10636.	Hall/VdC Norms: Male#0157	2JUA 1FKA 1MKA 
QQQ10637.	Hall/VdC Norms: Male#0158	1MKA 3MKA 1FKA 
QQQ10638.	Hall/VdC Norms: Male#0159	1MOA 2MSA 
QQQ10639.	Hall/VdC Norms: Male#0160	1MKA 1MKA 1MOA 
QQQ10640.	Hall/VdC Norms: Male#0161	1FOA 
QQQ10641.	Hall/VdC Norms: Male#0162	1MOA 
QQQ10642.	Hall/VdC Norms: Male#0163	1MKA 
QQQ10643.	Hall/VdC Norms: Male#0164	1MKA 1IKA 1FKA 1FKA 1MKA 
QQQ10644.	Hall/VdC Norms: Male#0165	1MOA 2IOA 1MKA 
QQQ10645.	Hall/VdC Norms: Male#0166	2JSA 1FSA 1IEA 2MEA 2MEA 2FSA 
QQQ10646.	Hall/VdC Norms: Male#0167	1MOA 
QQQ10647.	Hall/VdC Norms: Male#0168	2JSA 1FSA 
QQQ10648.	Hall/VdC Norms: Male#0169	1MSA 1MEA 7MOA 8MOA 1MSA 2JSA 
QQQ10649.	Hall/VdC Norms: Male#0170	1ANI 2ANI 2JUA 1MSA 2ANI 1ANI 
QQQ10650.	Hall/VdC Norms: Male#0171	2JSA 1MKA 2MOA 1MOA 
QQQ10651.	Hall/VdC Norms: Male#0172	1FKA 2JUA 
QQQ10652.	Hall/VdC Norms: Male#0173	1MPA 1MOA 1ANI 
QQQ10653.	Hall/VdC Norms: Male#0174	1MOA 1MKA 1MOA 
QQQ10654.	Hall/VdC Norms: Male#0175	1CZZ 
QQQ10655.	Hall/VdC Norms: Male#0176	1FOA 2MSA 1MSA 
QQQ10656.	Hall/VdC Norms: Male#0177	2IKA 2ANI 1MUC 
QQQ10657.	Hall/VdC Norms: Male#0178	2JSA 
QQQ10658.	Hall/VdC Norms: Male#0179	1MFA 1FMA 1FTA 
QQQ10659.	Hall/VdC Norms: Male#0180	1MKA 1ANI 1ANI 1MKA 1ISA 
QQQ10660.	Hall/VdC Norms: Male#0181	2MUA 2MOA 1MUA 
QQQ10661.	Hall/VdC Norms: Male#0182	
QQQ10662.	Hall/VdC Norms: Male#0183	1MKA 1MKT 
QQQ10663.	Hall/VdC Norms: Male#0184	1MKA 1MOA 
QQQ10664.	Hall/VdC Norms: Male#0185	1MBA 1FMA 
QQQ10665.	Hall/VdC Norms: Male#0186	1MKA 2ISA 1MKA 1MUA 
QQQ10666.	Hall/VdC Norms: Male#0187	1MOA 1FOA 2MKA 7MKA 8MKA 
QQQ10667.	Hall/VdC Norms: Male#0188	1FOA 2JSA 
QQQ10668.	Hall/VdC Norms: Male#0189	
QQQ10669.	Hall/VdC Norms: Male#0190	1MKA 1IUA 1MKA 1FKA 
QQQ10670.	Hall/VdC Norms: Male#0191	2MKA 1MKA 1FKA 
QQQ10671.	Hall/VdC Norms: Male#0192	2MSA 2MOA 
QQQ10672.	Hall/VdC Norms: Male#0193	1MKA 
QQQ10673.	Hall/VdC Norms: Male#0194	1FKA 1FUA 2MOA 
QQQ10674.	Hall/VdC Norms: Male#0195	2MKA 2IUA 
QQQ10675.	Hall/VdC Norms: Male#0196	1MKA 2JSC 
QQQ10676.	Hall/VdC Norms: Male#0197	1FMA 2JSA 1MSA 1MBA 
QQQ10677.	Hall/VdC Norms: Male#0198	1MKA 1FUA 1MKA 2MKA 
QQQ10678.	Hall/VdC Norms: Male#0199	2MKA 1MKA 2JEA 2ANI 2ANI 1FOA 1MKA 1MKA 1ISA 1MKA 
QQQ10679.	Hall/VdC Norms: Male#0200	2MEA 2MKA 2MEA 2MUA 2MEA 1MEA 
QQQ10680.	Hall/VdC Norms: Male#0201	2MUA 1MFA 
QQQ10681.	Hall/VdC Norms: Male#0202	1MOA 1FSA 2JSA 1FKA 
QQQ10682.	Hall/VdC Norms: Male#0203	1FKA 2JKA 1FKA 
QQQ10683.	Hall/VdC Norms: Male#0204	2JUA 
QQQ10684.	Hall/VdC Norms: Male#0205	1MFA 
QQQ10685.	Hall/VdC Norms: Male#0206	2MKA 
QQQ10686.	Hall/VdC Norms: Male#0207	1MUC 2JUA 1MRA 1FRA 1MOA 
QQQ10687.	Hall/VdC Norms: Male#0208	1FTA 
QQQ10688.	Hall/VdC Norms: Male#0209	2ANI 2ANI 1MKA 2FUA 
QQQ10689.	Hall/VdC Norms: Male#0210	1MKA 
QQQ10690.	Hall/VdC Norms: Male#0211	1MOA 2JSA 5FPA 1MPA 
QQQ10691.	Hall/VdC Norms: Male#0212	1MKA 1MKC 2MOA 2FKC 1FKA 1FKA 1MKA 
QQQ10692.	Hall/VdC Norms: Male#0213	1MSA 2FSA 2MOA 
